country,gdpp
Burundi,231
Liberia,327
"Congo, Dem. Rep.",334
Niger,348
Sierra Leone,399
Madagascar,413
Mozambique,419
Central African Republic,446
Malawi,459
Eritrea,482
Togo,488
Guinea-Bissau,547
Afghanistan,553
Gambia,562
Rwanda,563
Burkina Faso,575
Uganda,595
Guinea,648
Haiti,662
Tanzania,702
Mali,708
Benin,758
Comoros,769
Chad,897
Kenya,967
Senegal,1000
Pakistan,1040
Lao,1140
Lesotho,1170
Mauritania,1200
Cote d'Ivoire,1220
Solomon Islands,1290
Cameroon,1310
Yemen,1310
Ghana,1310
Zambia,1460
Sudan,1480
Kiribati,1490
Nigeria,2330
"Congo, Rep.",2740
Angola,3530
Timor-Leste,3600
Iraq,4500
Namibia,5190
Gabon,8750
Equatorial Guinea,17100
